Proposal ID,Snapshot ID,Author,Title,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Vesting Contract,Vesting Released Amount,Vesting Releasable Amount,Vesting Token Contract Balance,Vesting Total Amount,Vesting Start At,Vesting Finish At,Enacting Transaction,Transaction Date,Transaction Amount
e66cc2e0-e013-11eb-a20f-d75df7f87ed8,QmdLbbrc4gM7bwpBh7rXM3SCzc9XEduQJjHsfj6QeepvPT,0x598f8af1565003ae7456dac280a18ee826df7a2c,Long term game “Project G”,enacted,2021-07-08T17:42:00.982Z,2021-07-15T17:42:00.982Z,1000000,1752071.2661195807,Gaming,Tier 3,5000,0xE8643B09CF5A016AA2F1c2E9371dcEAdD362BB00,[object Object],0x68412BF5805F8D6c9536eaeD42054714Ac037F17,7692.30769231,0,0,7692.30769231,Thu Jul 15 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Oct 13 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
811f2150-de90-11eb-815a-1f002ccf0372,QmckLfTRMrNjHzGLXV69Zb9wnfpzgPEtubQvb6VfKVE6fE,0x187338cff37428614ecab066c231cafaae1edb10,4 Worlds Magazine (Ethereum Essential),rejected,2021-07-06T19:29:00.790Z,2021-07-13T19:29:00.790Z,1000000,597300.7828728929,Content Creator,Tier 2,1500,0x5cfdc483e63173ee18532b67bc6c20fd4824cc67,,,,,,,,,,,
51a09220-dd72-11eb-815a-1f002ccf0372,QmS7jTEw5reRxupAV7jpmhdb8d23ZSWzjsb7Jm6BBzyYWB,0xaa528f96f7865ef46697dcbb3b4e04cefa91ca0c,First Futuristic MetaStadium (Football),rejected,2021-07-05T09:21:00.043Z,2021-07-12T09:21:00.043Z,1000000,319424.00769122265,Gaming,Tier 3,4999,0xAA528F96f7865Ef46697dCbb3B4E04cEfA91Ca0C,,,,,,,,,,,
29468410-dc00-11eb-9110-69b867ba991b,QmSFwidzAWW9EpbDSMpf3HgsUs7brvhpbSph9hdxo9NU4b,0xa4244f6711052752e6bb0271bf17c756e6598406,Video Editor for The Decentraland Report,enacted,2021-07-03T13:11:00.553Z,2021-07-10T13:11:00.553Z,1000000,1461760.103604985,Content Creator,Tier 1,500,0xa4244F6711052752E6Bb0271Bf17c756E6598406,[object Object],,,,,,,,0x035d8c46d1423cfc0ca7b30ccf7194f136f3fe296c5200e86fde66747bcd0d53,2021-07-14T20:41:39Z,833.333333333
ab782cf0-dace-11eb-9110-69b867ba991b,QmNydZQN9W8yoMP3jJi6di4MWpoAXvS5CUvoPQo9fGuaF1,0xbd5b79d53d75497673e699a571afa85492a2cc74,"Enhance All Builder Smart Items Feedback Cues; Improve Triggers, Counters, Text",rejected,2021-07-02T00:44:00.983Z,2021-07-09T00:44:00.983Z,1000000,858676.2895664996,Platform Contributor,Tier 3,5000,0xbd5b79D53D75497673e699A571AFA85492a2cc74,,,,,,,,,,,
c5849560-d9e9-11eb-9110-69b867ba991b,QmTHfJRnNoyynKZbPQQojj5jfpcXDwAXPrnowQUT7xrJe8,0xefd13f676744a527b1adce0b3c05834a54640ca8,Let me build custom and themed wardrobes for your parties and events.,rejected,2021-06-30T21:26:00.934Z,2021-07-07T21:26:00.934Z,1000000,190117.92397599213,Platform Contributor,Tier 3,5000,0xeFd13F676744a527B1adce0b3c05834a54640ca8,,,,,,,,,,,
f227a8a0-d9b7-11eb-9110-69b867ba991b,QmQuM1zmJEm4TDG2KUmiDVgpni3ZxiXCEgShm26Rathw3T,0xc1b8662a68f3eb66bc5e5c4de7c1ef04dc344d53,Open source DCL utility library that makes many things easier,enacted,2021-06-30T15:29:00.987Z,2021-07-07T15:29:00.987Z,1000000,1459494.7801319598,Platform Contributor,Tier 3,5000,0xc1b8662A68F3eb66bC5e5C4DE7C1EF04Dc344d53,[object Object],0x78b311f4BE9969C41931aDA45d6eC53Bf54998Cf,7042.25352113,0,0,7042.25352113,Wed Jul 07 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Oct 05 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
87a5a860-d994-11eb-9110-69b867ba991b,QmSYP5zuFyLYz7vjefeUW8S35iuUCSAqnENFFcjh8iKX6e,0x119e6f4644651e77eeb7031f4988ba29346d9608,Help fund my journey to the TEDtalk circuit,rejected,2021-06-30T11:15:00.910Z,2021-07-07T11:15:00.910Z,1000000,516500.0743813791,Content Creator,Tier 3,4998,0x479D5C2BEb27206fe1a369F26C25469C389fC54E,,,,,,,,,,,
732f50c0-d994-11eb-9110-69b867ba991b,QmVjvJdnBorL29nZFMPFm1UBHhpAJXeCMNRb7eMbPbwQzW,0x119e6f4644651e77eeb7031f4988ba29346d9608,Help fund my journey to the TEDtalk circuit,rejected,2021-06-30T11:15:00.580Z,2021-07-07T11:15:00.580Z,1000000,482323.8137671486,Content Creator,Tier 3,4998,0x479D5C2BEb27206fe1a369F26C25469C389fC54E,,,,,,,,,,,
486afb50-d994-11eb-9110-69b867ba991b,Qma2SERW8h8EisJHUN3fmRPRH4hVBoRvqrE6rovELeEGx4,0x119e6f4644651e77eeb7031f4988ba29346d9608,Help fund my journey to the TEDtalk circuit,rejected,2021-06-30T11:14:00.830Z,2021-07-07T11:14:00.830Z,1000000,533670.4136817849,Content Creator,Tier 3,7000,0x479D5C2BEb27206fe1a369F26C25469C389fC54E,,,,,,,,,,,
1d5c5260-d813-11eb-9110-69b867ba991b,QmQ1YNjRQ1jUBQAD71fVVM3tAyfeJGBMRbpNmX21S85d2s,0x2fdc5ec86b1744f8884d08fe404ac2f8612d3528,THE UNPARALLELED ALIVE AND MORE FASHION SHOW by Team RELMS,rejected,2021-06-28T13:16:00.351Z,2021-07-05T13:16:00.351Z,1000000,256187.07705152256,Content Creator,Tier 2,3000,0x2fdc5ec86B1744F8884D08FE404AC2F8612d3528,,,,,,,,,,,
ed3849d0-d804-11eb-9110-69b867ba991b,Qme22m2zkPAm6SstSrw26wAf3inY4nBkxGjuxZxJYq2zqC,0x6ae03d1d3a9b161ec264c76ad73999ee25abec5a,DCL Knowledge Base HQ - Educational Website,enacted,2021-06-28T11:35:00.630Z,2021-07-05T11:35:00.630Z,1000000,2205937.1578968097,Community,Tier 2,2000,0x6ae03D1d3A9b161ec264C76AD73999EE25AbEC5a,[object Object],,,,,,,,0xbc43d8e547df55e23a2a30c7274b675ded16dc8f6849ec6a6f1063ce50f6f6b7,2021-07-14T20:41:39Z,3333.33333333
48bf44c0-d4d1-11eb-8686-d3654af1f4cd,QmSmzwjSMjWSJ9qHWgxcXGPYpHPEDLe9X42wpiGJecWMbe,0x0e80fdfd9e13c90179ab2069bd288bd32826c499,Decentrapolooza: An event to bring together the next generation of inventors.,rejected,2021-06-24T09:48:00.868Z,2021-07-01T09:48:00.868Z,1000000,157501.50208700882,Community,Tier 3,5000,0x0E80Fdfd9e13C90179AB2069BD288BD32826c499,,,,,,,,,,,
6e3408a0-d38f-11eb-976f-4b50abb26a02,QmcsxVtmwM9ny6QJmN6qnxFwPyv9ZnZpgNCpf4odBjyh1E,0x83cfa5852e10e746afb86c2544e419d96b016634,Business To Generate NFTs From Decentraland,rejected,2021-06-22T19:24:00.763Z,2021-06-29T19:24:00.763Z,1000000,206828.59820420318,Content Creator,Tier 3,5000,0x83CfA5852e10E746Afb86C2544E419d96b016634,,,,,,,,,,,
ba798f30-d382-11eb-b705-3db38bad850a,QmUqfXPbBZfay8GLPw51ed1oUMXu4b9Cwnub81TFNMxr6d,0xbd5b79d53d75497673e699a571afa85492a2cc74,Improving the Toolbox Smart Item In Builder,enacted,2021-06-22T17:53:00.267Z,2021-06-29T17:53:00.267Z,1000000,1198561.1450458097,Platform Contributor,Tier 2,3000,0xbd5b79D53D75497673e699A571AFA85492a2cc74,[object Object],,,,,,,,0x14790738ee100309cd7038d17b289292b2109af7c0d18aa40d9095f9827d3264,2021-07-14T20:40:09Z,5000
d0a802a0-d378-11eb-987d-410735a966ad,QmcEtXsQLg9nY3ACAPFivBrHMTZo1KpKF1niFsJYrF5Br6,0x6411a6771684e0b8535b57e64fb81d1a7facea07,I want to start a youtube channel.,rejected,2021-06-22T16:42:00.514Z,2021-06-29T16:42:00.514Z,1000000,650074.44117501,Content Creator,Tier 2,2500,0x1720Da536aa2861756f9C8aA522b2d2C7C3549d3,,,,,,,,,,,
f512be20-d376-11eb-987d-410735a966ad,QmW5DxzH3Hu6ovcBWuyGBhQ4YyiuXfeiZEixBAVuiQMLsa,0xd2d950cea649feef4d6111c18adbd9a37b3a9f63,Building the Motion Mine,enacted,2021-06-22T16:29:00.618Z,2021-06-29T16:29:00.618Z,1000000,1975719.2321877817,Content Creator,Tier 3,5000,0xD2D950CeA649fEEf4D6111C18ADBD9a37B3a9f63,[object Object],0xf5A0B88Ccb23e2058d71F3C0e8539364B0c009a8,9050.953198560497,149.04686313950373,149.04686313950373,9200.0000617,Wed Jun 30 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Sep 28 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
