Proposal ID,Project ID,Snapshot ID,Author,Title,Type,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Enacting Transaction,Transaction Date,Transaction Amount,Done Updates,Late Updates,Missed Updates,Update Status,Project Health,Last Update,Next Update,Pending Updates
44db93f0-f7f2-11ec-805c-77efd746e6b7,9de2fa0c-134c-42f7-9e5b-7735432e6da2,bafkreieq2xs2ygc4jrzv74hlh6gq3yrzkrmjt5nblg2djtfin5hvsfupkm,0x9ff256f65fa594ccdc13d76f116c87d9defd8a1c,Decentraland’s First AI-Driven Smart Chickens! (Resubmission),grant,enacted,2022-06-29T21:27:00.103Z,2022-07-13T21:27:00.100Z,2000000,2928816.7360064564,Platform Contributor,Tier 4,60000,0x01F0b8e92F0ca0398482C265a99612196c8782fE,,,,,3,0,3,done,atRisk,2022-10-15T05:33:13.015Z,,3
1959b490-f726-11ec-805c-77efd746e6b7,2ab5986b-5c8f-45d3-bf84-90db40dc2475,bafkreiba5fqni5vm3lyh7ftk4jihr6oxy3r2e75an5oqg5r4z7bp5vccgm,0x270722b5222968603e4650c3b70a7dfb971ed5b6,Decentraland Retro 2D Client and SDK Proposal,grant,enacted,2022-06-28T21:05:00.777Z,2022-07-12T21:05:00.776Z,2000000,11164837.65806079,Platform Contributor,Tier 4,60000,0xa63A3eeE0101e61f3c970445A237ED04785ad145,,,,,3,0,4,done,onTrack,2023-05-18T17:12:11.821Z,,4
8befa660-f6f2-11ec-805c-77efd746e6b7,bbea0a0e-3b2d-452a-a38d-acfed8842df6,bafkreiccsubz3bnbq5vxpv765dxx3wqmk7ckshaxovo64brxoc24jojjbi,0xccde0e422d384122a2089888b17cd9cc402920ec,"$120,000 grant to be approved to fund Builder Competitions for DCL creators.",grant,enacted,2022-06-28T14:56:00.190Z,2022-07-12T14:56:00.188Z,4000000,7751581.266489081,Platform Contributor,Tier 5,120000,0x77BD4E9BB7094F92fb93b08cF5C368503CCd6c41,,,,,5,0,2,done,onTrack,2023-03-07T18:23:01.984Z,,2
7c213df0-f62c-11ec-805c-77efd746e6b7,a30f8767-296c-492c-bbae-b008728b8ab8,QmWVpteHNAJiVv4kkMAqrdGA5w8riQbPKrEfKypgVpecux,0x9f9d3024bc0d05f7e9330ac0a0d50057b511c63b,Endless Mafia,grant,enacted,2022-06-27T15:19:00.319Z,2022-07-04T15:19:00.318Z,1000000,1239276.195992277,Gaming,Tier 3,3200,0x7dC0c1E2F54b619B423104c77c9783B1716640a5,,,,,0,0,3,,,,,3
bbf5b1b0-f576-11ec-b5fc-5178246a05ac,34632303-f5d4-4c43-945f-71b13ebe905f,QmPd1PSEJGdNMLQGtZxaXq9JA1oDEq4nCRyVGNgwbSfAiC,0x2ebb0e88c6edeaef1d912bee639a9e6acc2ed418,"Creating energetic, personalised content & Building project in Decentraland.",grant,enacted,2022-06-26T17:38:00.003Z,2022-07-10T17:38:00.002Z,2000000,6173326.816803785,Content Creator,Tier 4,10000,0x2EBB0E88c6eDeAeF1D912bEE639A9e6acC2Ed418,,,,,4,0,2,done,atRisk,2022-10-21T09:52:59.445Z,,2
96914860-f311-11ec-aa01-87bd234b340d,d02440f3-4d4c-4419-884b-e52bfdaa586a,QmQntSdVjqt4kiQMQJoS2oM6r1mmcjPJeSE9NLh6SFHwKW,0xcf10cd8b5dc2323b1eb6de6164647756bad4de4d,"Golfcraft game and more projects by Eibriel, Pablo & co.",grant,enacted,2022-06-23T16:29:00.774Z,2022-07-07T16:29:00.772Z,8000000,8725171.999159995,Gaming,Tier 6,240000,0x0B2Ad22519013B7d119F3c3C26bb65E2A4596379,,,,,12,0,0,done,onTrack,2023-07-27T17:38:56.620Z,,0
04d93380-f233-11ec-aa01-87bd234b340d,bb5eacf6-6d1a-4329-b251-550efbb8b4ee,QmUG89sm27pkEYydj1iuQYrx7W2kYP6esrxssvWNTtdopB,0x9645b4c1bfd6eb2647e7fb8b74db8f79f862ea9e,"MoCDA, Museum of Contemporary Digital Art: Public Exhibitions Program 2022",grant,enacted,2022-06-22T13:55:00.024Z,2022-07-06T13:55:00.023Z,2000000,4195534.400401698,Community,Tier 4,35000,0x9645b4C1bFd6eb2647E7Fb8B74Db8F79F862Ea9e,,,,,6,0,0,done,onTrack,2023-01-09T08:58:36.994Z,,0
4b6bb7e0-eed8-11ec-aa01-87bd234b340d,1e09864d-9df4-47de-a613-3ddd4e3294b6,QmcieLr7K8go6y1u5kZYz48r4E72xEZHTYWhEZMCF8a2NW,0x9429f8b66914d603844501fb0c640e9fd7220377,DCL-Edit - Further Development,grant,enacted,2022-06-18T07:28:00.734Z,2022-07-02T07:28:00.733Z,8000000,8859391.100746734,Platform Contributor,Tier 6,240000,0x2a9Da28bCbF97A8C008Fd211f5127b860613922D,,,,,5,0,2,done,onTrack,2023-03-21T21:59:39.918Z,,2
a31bfa40-ed02-11ec-aa01-87bd234b340d,f69ea030-cc66-410e-b225-0b123ded3640,QmUrSmTx1jUjFgzJiYZq3iYSqW2uAtdNepMET9whwchxRn,0x11cbb078596e5100f4cbb999c5c9b69ca2ff6477,"Preparing detailed financial statements, budget, and long-range forecast",grant,enacted,2022-06-15T23:26:00.388Z,2022-06-29T23:26:00.387Z,2000000,2422942.3500076053,Community,Tier 4,20000,0x11cbB078596E5100F4cbB999c5C9b69cA2FF6477,,,,,0,0,6,,,,,6
a735d7c0-eb1f-11ec-82d9-d917cdd158ac,1aa6195a-0984-4413-8b43-45ec1806ea3d,QmQbUY38mBuNKmYYY4isQDpn2EYn4JbkAAvDr2fRyaysTC,0x511a22cdd2c4ee8357bb02df2578037ffe8a4d8d,Web3 and Metaverse Journalism Hackathon Sponsorship,grant,enacted,2022-06-13T13:49:00.348Z,2022-06-27T13:49:00.347Z,2000000,2155667.5536721386,Community,Tier 4,20000,0x0b30f5f1A39C4899f312c9466c516EAC43d71A42,,,,,3,0,3,done,onTrack,2022-12-27T19:02:25.371Z,,3
