Date,Wallet,Network,Type,Tag,Amount,Token,USD Amount,USD Fee,Sender,Transfer From,Transfer To,Block,Hash,Contract
2024-02-26T19:53:12Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.5,MANA,0.268,0.024139924287241217,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53991679,0x0540e3901be021b0046494cd59afc426eb5e247797670aa7201aecdb2836d258,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T19:52:22Z,DAO Committee,Polygon,IN,MATIC Marketplace,1.25,MANA,0.67,0.025974603317534928,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53991655,0x7aa387fc0140b13f3b9215ae175e8da96ebfe444409c4dbf9407e6eb6f22a703,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T19:49:20Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.020670976359038206,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53991569,0x7a5156ef46a7d16f40d0d153eb2b8faa874fd8a3ce41083536654f1143eb477e,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T19:48:46Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.021963480618460332,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53991555,0x6faa8878d84102d44e88cab5fe50c97d6af998feaa9bb852c02a12149786840a,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T19:48:05Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.02300732506883402,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53991536,0x07a4644e8112b93cbd87ba85af00cda9472ba0d52b42761ea715346849a04cef,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T19:29:36Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.031276644107092896,0x447c9058be5c164e0c4aae380381e7a5215052d4,0x447c9058be5c164e0c4aae380381e7a5215052d4,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53991016,0x2d1eba1c7217506aa4a0e9190e512fcf13e8d53ca2bc8e2043ef93ac00b4c4f0,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T19:18:32Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.04298148620362974,0x1995ddc2d2c406d2ab268b1a26b49260a39926ca,0x1995ddc2d2c406d2ab268b1a26b49260a39926ca,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53990705,0xe68e7df083c23131471c04869aed726873f109971084f4be3284056e7f7128c5,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T15:05:07Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.02459393497798321,0x8b4221b34efeb8f4ba874cf07d7f6c456c5cc347,0x8b4221b34efeb8f4ba874cf07d7f6c456c5cc347,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53983922,0x8d1293b47e7ca097aaff7651b6c7751f7a0d4be5d6f97084557f8ddef7dffdeb,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T14:21:49Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.025,MANA,0.013400000000000002,0.04196943486785434,0xea749fd6ba492dbc14c24fe8a3d08769229b896c,0xea749fd6ba492dbc14c24fe8a3d08769229b896c,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53982703,0x058b0a5dda6dfaeaf9f953bc9277a93d73761233133390fbe4feaf126a424149,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T07:19:47Z,Aragon Agent,Ethereum,IN,Secondary Sale :: LAND fee,29.85,MANA,15.62349,14.196891637897956,0x63b0a6a6aecd9a6d5140451b04d68cd708c3917e,0x63b0a6a6aecd9a6d5140451b04d68cd708c3917e,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19310206,0x19ef66c823895e30e46c1a46eedd7e9c1c99e55bbc170430ab8dc9d6b3ea4191,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2024-02-26T04:02:23Z,Aragon Agent,Ethereum,IN,NAME fee :: MINT,100,MANA,52.339999999999996,23.435430267941236,0x4ca15a56f7c626d9e24f2b21c387c937a47b6e26,0x4ca15a56f7c626d9e24f2b21c387c937a47b6e26,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19309233,0xe597d612a6ff779b07ae5bc1078ef43f6400a21b312a18db3a3845389603f81f,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2024-02-25T23:21:49Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.025,MANA,0.013085,0.039033729271753075,0xea749fd6ba492dbc14c24fe8a3d08769229b896c,0xea749fd6ba492dbc14c24fe8a3d08769229b896c,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53957691,0x8bca83028e5f5a93fe7012d947ff8d0b96946b886dc43997942a8d0e3d147e40,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
