Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,L1 Wearables VP,Rental VP,Has Delegated,Delegate,Has Delegators,Delegators Amount,Delegators,Avatar Preview
0x7aaaae8cd46ab71e1e5084d55d9c6b3ea4d970a0,7894.295501184932,901.1650000049326,0,400,6193.13050118,400,0,false,,true,1,0xa5e2d705bf7971dec8d7e5f993330d5eda6ec78a,https://wearable-preview.decentraland.org/?profile=0x7aaaae8cd46ab71e1e5084d55d9c6b3ea4d970a0
0x7e6d4810ea233d7588e3675d704571e29c4bcbba,41192.57927056,5531.18327737,12000,300,23164.39599319,197,0,false,,true,2,"0x1cf4b9b0379bc01a9be12b8efcdb7570a65e3fa9,0x06a910af804e981d2cd3e21d00a1bdd18667d9f0",https://wearable-preview.decentraland.org/?profile=0x7e6d4810ea233d7588e3675d704571e29c4bcbba
0x06a910af804e981d2cd3e21d00a1bdd18667d9f0,3170.93247837,595.93247837,2000,100,0,475,0,true,0x7e6d4810ea233d7588e3675d704571e29c4bcbba,false,0,,https://wearable-preview.decentraland.org/?profile=0x06a910af804e981d2cd3e21d00a1bdd18667d9f0
0x450eb7c423a9ccb91939f340948e48de9bb55865,10801.153915342105,1.1539153421044899,10000,800,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x450eb7c423a9ccb91939f340948e48de9bb55865
0x9d3bb66715db47f87fc70ed66cf2460b2121bdc0,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x9d3bb66715db47f87fc70ed66cf2460b2121bdc0
0x8b104344f397afc33ee55c743a0fbd7d956201cd,1116,1,0,0,0,1115,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x8b104344f397afc33ee55c743a0fbd7d956201cd
0x5da5f4c020f856abdb168fd35c957d6006ba2ede,2213.650955025451,3.650955025451015,2000,100,0,110,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x5da5f4c020f856abdb168fd35c957d6006ba2ede
0xb59da3a5fa2fab1e8aae5cb352146b3b02f53578,600.91,0.91,0,600,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xb59da3a5fa2fab1e8aae5cb352146b3b02f53578
0xa21df89c3f7375ebe7381cc858e0aa0b7c83aee0,95.4432,95.4432,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xa21df89c3f7375ebe7381cc858e0aa0b7c83aee0
0xe3b35e018c8270e335009fb05adc56cccdf453ce,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xe3b35e018c8270e335009fb05adc56cccdf453ce
