Record ID,Update ID,Proposal ID,Proposal type,Proposal category,Financial category,Description,Amount,Token,Receiver,Link
116,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Voxel Architects Modeller 3,840,DAI,0x42B15B64B6D1638eD91A86CAC30a36313b6C8C5d,https://etherscan.io/tx/0x2da8325e24fd2b6ac90b70305c93f3d7e9fb1bddfefbb392d292a3048231fbd7
117,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Vegas City Developer 1,3000,DAI,0xa1614c4decbfa292d35021c03da1eb4dedc06384,https://etherscan.io/tx/0x1d135b369ab73d0577ebe426513c95b32dfc6d946de42e34b1912bae9d444e31
118,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Vegas City Developer 2,3000,DAI,0xa1614c4decbfa292d35021c03da1eb4dedc06384,https://etherscan.io/tx/0x1d135b369ab73d0577ebe426513c95b32dfc6d946de42e34b1912bae9d444e31
119,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Vegas City Architect/Lead,1000,DAI,0xa1614c4decbfa292d35021c03da1eb4dedc06384,https://etherscan.io/tx/0x1d135b369ab73d0577ebe426513c95b32dfc6d946de42e34b1912bae9d444e31
120,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Vegas City Test,500,DAI,0xa1614c4decbfa292d35021c03da1eb4dedc06384,https://etherscan.io/tx/0x1d135b369ab73d0577ebe426513c95b32dfc6d946de42e34b1912bae9d444e31
121,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Vegas City Project Manager,2000,DAI,0xa1614c4decbfa292d35021c03da1eb4dedc06384,https://etherscan.io/tx/0x1d135b369ab73d0577ebe426513c95b32dfc6d946de42e34b1912bae9d444e31
122,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Vegas City Operations,500,DAI,0xa1614c4decbfa292d35021c03da1eb4dedc06384,https://etherscan.io/tx/0x1d135b369ab73d0577ebe426513c95b32dfc6d946de42e34b1912bae9d444e31
124,893e1ab1-12c8-4dae-b4e0-38d1ca1c3b52,fe85ab06-618d-4181-960d-fc32d5f0a7e1,grant,Platform,Other,This line is apparently required to publish update,1,USDC,0xe64581F067Cfdce58657E3c0F58175e638C30f2B,
125,12d20401-e050-431a-a186-b2a886a3d316,847303a0-b8a8-11ed-95dc-afd12ca00986,grant,In-World Content,Team Compensation,2 month,9166,DAI,0x1D11f567D0b4486Ae3857284c2603FF0Faf8aD5E,https://etherscan.io/tx/0x0a8da592f1b35406c74618f6a294a43a2e5ce9cce177ef3283baaff5ea7c9fea
126,496bc873-4681-11ee-ab1f-97157a05bdec,dcfc1f80-235f-11ee-8ace-3bf098daeebe,grant,Social Media Content,Team Compensation,Compensation for work rendered during the month of January to include reimbursement for ads software and other items,5833,DAI,0x2D7526b8aB977204920D9ec74F62510101BC84E0,https://etherscan.io/tx/0x0bdd8e2f0cc4bf5a5b42c1917e45c27c5c7863da15ba4940178adbf9556acf5c
127,99013b13-6204-11ee-921b-3b664a734355,fe96cc60-182b-11ee-93a7-ed9294f83f74,grant,In-World Content,Other,Monthly Salary and for Payment to Guests,2500,DAI,0x082f2A8ea1D8E3ee24c20d12452B7E851ad0D5DD,https://etherscan.io/tx/0x544c051a59a0196e47dc735632ac9776c7a7cb04addaeb6c8af30c0a683d9950
128,99013b13-6204-11ee-921b-3b664a734355,fe96cc60-182b-11ee-93a7-ed9294f83f74,grant,In-World Content,Other,Monthly Salary and for Payment to guests,1000,DAI,0x082f2A8ea1D8E3ee24c20d12452B7E851ad0D5DD,https://etherscan.io/tx/0xfc34f3b74f796af33a79dd633f2288879de7ab19751c6215ff5fff78546c76fb
129,99013b13-6204-11ee-921b-3b664a734355,fe96cc60-182b-11ee-93a7-ed9294f83f74,grant,In-World Content,Other,Monthly Salary and for Payment to guests,1000,DAI,0x082f2A8ea1D8E3ee24c20d12452B7E851ad0D5DD,https://etherscan.io/tx/0x54b6dcc04f01fc6b9d42c3edccb732be994ccf60aee7efa5c9fdd96c5dfb81e4
130,afe65391-5c84-11ee-abd9-01bdc8ef3aac,1740a740-4db0-11ee-beb5-696f9c967b67,grant,Documentation,Team Compensation,Personal Expense,3935,DAI,0x8D62189E991597b1aE712b68E6ef87C9F46f9BbB,https://etherscan.io/tx/0x3186ed2ad5ea5ddfeaab2ea70c314126491e5cc10429dbd7d77a48887ce830d3
131,afe65391-5c84-11ee-abd9-01bdc8ef3aac,1740a740-4db0-11ee-beb5-696f9c967b67,grant,Documentation,Tools & Services,Adobe CS,65,DAI,0x8D62189E991597b1aE712b68E6ef87C9F46f9BbB,https://etherscan.io/tx/0x3186ed2ad5ea5ddfeaab2ea70c314126491e5cc10429dbd7d77a48887ce830d3
